Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Salary_numerical,salary_log
Stephen Curry,PG,31.0,GSW,5.0,5.0,27.8,6.6,16.4,0.402,2.4,9.8,0.245,4.2,6.6,0.636,0.47600000000000003,5.2,5.2,1.0,0.8,4.4,5.2,6.6,1.0,0.4,3.2,2.2,20.8,43006362.0,17.57685861620217
Russell Westbrook,PG,31.0,HOU,57.0,57.0,35.9,10.6,22.5,0.47200000000000003,1.0,3.7,0.258,9.6,18.7,0.514,0.493,5.1,6.7,0.763,1.8,6.2,7.9,7.0,1.6,0.4,4.5,3.5,27.2,41358814.0,17.537796112704953
Chris Paul,PG,34.0,OKC,70.0,70.0,31.5,6.2,12.7,0.489,1.6,4.3,0.365,4.6,8.3,0.5539999999999999,0.552,3.6,4.0,0.907,0.4,4.6,5.0,6.7,1.6,0.2,2.3,2.3,17.6,41358814.0,17.537796112704953
James Harden,SG,30.0,HOU,68.0,68.0,36.5,9.9,22.3,0.444,4.4,12.4,0.355,5.5,9.9,0.556,0.5429999999999999,10.2,11.8,0.865,1.0,5.5,6.6,7.5,1.8,0.9,4.5,3.3,34.3,40824000.0,17.524780701725945
LeBron James,PG,35.0,LAL,67.0,67.0,34.6,9.6,19.4,0.493,2.2,6.3,0.348,7.4,13.1,0.564,0.55,3.9,5.7,0.693,1.0,6.9,7.8,10.2,1.2,0.5,3.9,1.8,25.3,39219565.0,17.484686287391007
Blake Griffin,PF,30.0,DET,18.0,18.0,28.4,4.9,13.9,0.35200000000000004,1.5,6.2,0.243,3.4,7.7,0.439,0.406,4.2,5.4,0.7759999999999999,0.9,3.7,4.7,3.3,0.4,0.4,2.2,1.5,15.5,36595996.0,17.415449393479992
Paul George,SF,29.0,LAC,48.0,48.0,29.6,7.1,16.3,0.439,3.3,7.9,0.41200000000000003,3.9,8.4,0.46399999999999997,0.539,4.0,4.5,0.8759999999999999,0.5,5.2,5.7,3.9,1.4,0.4,2.6,2.4,21.5,35450412.0,17.383645432877696
Mike Conley,PG,32.0,UTA,47.0,41.0,29.0,4.9,12.1,0.409,2.0,5.4,0.375,2.9,6.6,0.43700000000000006,0.494,2.4,3.0,0.8270000000000001,0.7,2.5,3.2,4.4,0.8,0.1,2.0,2.2,14.4,34504132.0,17.356589642945902
Jimmy Butler,SF,30.0,MIA,58.0,58.0,33.8,5.9,13.1,0.455,0.5,2.1,0.244,5.4,11.0,0.495,0.474,7.6,9.1,0.8340000000000001,1.8,4.8,6.7,6.0,1.8,0.6,2.2,1.4,19.9,34379100.0,17.352959379565856
Kemba Walker,PG,29.0,BOS,56.0,56.0,31.1,6.8,15.9,0.425,3.2,8.4,0.381,3.5,7.4,0.47600000000000003,0.526,3.7,4.3,0.8640000000000001,0.6,3.2,3.9,4.8,0.9,0.5,2.1,1.6,20.4,34379100.0,17.352959379565856
Kawhi Leonard,SF,28.0,LAC,57.0,57.0,32.4,9.3,19.9,0.47,2.2,5.7,0.37799999999999995,7.2,14.2,0.506,0.524,6.2,7.1,0.8859999999999999,0.9,6.1,7.1,4.9,1.8,0.6,2.6,2.0,27.1,34379100.0,17.352959379565856
Tobias Harris,PF,27.0,PHI,72.0,72.0,34.3,7.7,16.3,0.47100000000000003,1.8,5.0,0.36700000000000005,5.9,11.3,0.517,0.527,2.4,3.0,0.8059999999999999,1.0,5.9,6.9,3.2,0.7,0.6,1.4,2.3,19.6,33517241.0,17.327570521121366
Kyrie Irving,PG,27.0,BRK,20.0,20.0,32.9,10.0,20.8,0.478,2.8,7.1,0.39399999999999996,7.2,13.7,0.522,0.546,4.7,5.1,0.922,1.1,4.1,5.2,6.4,1.4,0.5,2.6,2.7,27.4,33329100.0,17.32194144721907
Khris Middleton,SF,28.0,MIL,62.0,59.0,29.9,7.6,15.3,0.49700000000000005,2.4,5.7,0.415,5.2,9.6,0.546,0.575,3.4,3.7,0.9159999999999999,0.7,5.5,6.2,4.3,0.9,0.1,2.2,2.3,20.9,33051724.0,17.31358428629031
Anthony Davis,PF,26.0,LAL,62.0,62.0,34.4,8.9,17.7,0.503,1.2,3.5,0.33,7.7,14.2,0.546,0.536,7.2,8.5,0.846,2.3,7.0,9.3,3.2,1.5,2.3,2.5,2.5,26.1,32742000.0,17.304169215396424
Damian Lillard,PG,29.0,POR,66.0,66.0,37.5,9.5,20.4,0.46299999999999997,4.1,10.2,0.401,5.4,10.2,0.524,0.563,7.0,7.8,0.888,0.5,3.8,4.3,8.0,1.1,0.3,2.9,1.7,30.0,31626953.0,17.26952025804591
Kevin Love,PF,31.0,CLE,56.0,56.0,31.8,5.8,13.0,0.45,2.6,7.0,0.374,3.2,6.0,0.537,0.55,3.3,3.9,0.8540000000000001,1.0,8.8,9.8,3.2,0.6,0.3,2.5,1.6,17.6,31300000.0,17.25912865551038
Kyle Lowry,PG,33.0,TOR,58.0,58.0,36.2,5.8,13.8,0.41600000000000004,2.8,8.0,0.35200000000000004,2.9,5.8,0.504,0.518,5.1,5.9,0.857,0.6,4.5,5.0,7.5,1.4,0.4,3.1,3.3,19.4,30000000.0,17.216707939626428
Joel Embiid,C,25.0,PHI,51.0,51.0,29.5,7.5,15.7,0.47700000000000004,1.1,3.4,0.331,6.4,12.3,0.517,0.512,6.9,8.5,0.807,2.8,8.9,11.6,3.0,0.9,1.3,3.1,3.4,23.0,29542010.0,17.20132387608374
Andrew Wiggins,SF,24.0,TOT,54.0,54.0,34.4,8.1,18.1,0.447,2.1,6.2,0.332,6.0,11.9,0.506,0.504,3.5,5.0,0.7090000000000001,1.2,3.9,5.1,3.7,0.8,1.0,2.4,2.4,21.8,29542010.0,17.20132387608374
Andrew Wiggins,SF,24.0,MIN,42.0,42.0,34.6,8.4,18.8,0.444,2.2,6.5,0.331,6.2,12.3,0.505,0.502,3.5,4.9,0.72,1.1,4.1,5.2,3.7,0.7,0.9,2.5,2.4,22.4,29542010.0,17.20132387608374
Andrew Wiggins,SF,24.0,GSW,12.0,12.0,33.6,7.2,15.7,0.457,1.7,4.9,0.33899999999999997,5.5,10.8,0.512,0.511,3.4,5.1,0.672,1.5,3.1,4.6,3.6,1.3,1.4,2.1,2.2,19.4,29542010.0,17.20132387608374
Kristaps Porziņģis,C,24.0,DAL,57.0,57.0,31.8,7.0,16.4,0.42700000000000005,2.5,7.1,0.35200000000000004,4.5,9.3,0.484,0.503,4.0,5.0,0.799,1.8,7.7,9.5,1.8,0.7,2.0,1.6,3.2,20.4,29467800.0,17.1988086997386
Devin Booker,SG,23.0,PHO,70.0,70.0,35.9,9.0,18.3,0.489,2.0,5.7,0.354,6.9,12.6,0.5489999999999999,0.544,6.7,7.3,0.919,0.4,3.8,4.2,6.5,0.7,0.3,3.8,3.0,26.6,29430000.0,17.197525120209654
Karl-Anthony Towns,C,24.0,MIN,35.0,35.0,33.9,9.0,17.8,0.508,3.3,7.9,0.41200000000000003,5.8,9.9,0.586,0.6,5.1,6.5,0.7959999999999999,2.7,8.1,10.8,4.4,0.9,1.2,3.1,3.3,26.5,29430000.0,17.197525120209654
CJ McCollum,SG,28.0,POR,70.0,70.0,36.5,8.7,19.4,0.451,2.8,7.3,0.379,6.0,12.1,0.494,0.522,2.0,2.6,0.757,0.7,3.6,4.2,4.4,0.8,0.6,1.8,2.6,22.2,29354152.0,17.1949445593098
Ben Simmons,PG,23.0,PHI,57.0,57.0,35.4,6.6,11.4,0.58,0.0,0.1,0.28600000000000003,6.5,11.2,0.583,0.581,3.2,5.2,0.621,2.0,5.8,7.8,8.0,2.1,0.6,3.5,3.3,16.4,29250000.0,17.19139013164214
Jamal Murray,PG,22.0,DEN,59.0,59.0,32.3,6.9,15.2,0.456,1.9,5.5,0.34600000000000003,5.0,9.7,0.519,0.519,2.8,3.1,0.8809999999999999,0.8,3.2,4.0,4.8,1.1,0.3,2.2,1.7,18.5,29250000.0,17.19139013164214
Pascal Siakam,PF,25.0,TOR,60.0,60.0,35.2,8.3,18.4,0.45299999999999996,2.2,6.1,0.359,6.2,12.3,0.499,0.512,4.0,5.1,0.792,1.1,6.3,7.3,3.5,1.0,0.9,2.5,2.8,22.9,29000000.0,17.182806387950748
Bradley Beal,SG,26.0,WAS,57.0,57.0,36.0,10.4,22.9,0.455,3.0,8.4,0.353,7.4,14.4,0.515,0.52,6.8,8.0,0.8420000000000001,0.9,3.3,4.2,6.1,1.2,0.4,3.4,2.2,30.5,28751775.0,17.174210062432287
Andre Drummond,C,26.0,TOT,57.0,56.0,33.0,7.3,13.8,0.5329999999999999,0.1,0.6,0.14300000000000002,7.2,13.1,0.551,0.536,3.0,5.2,0.575,4.4,10.8,15.2,2.7,1.9,1.6,3.6,3.5,17.7,28751775.0,17.174210062432287
Andre Drummond,C,26.0,DET,49.0,48.0,33.8,7.3,13.9,0.53,0.0,0.4,0.048,7.3,13.4,0.546,0.531,3.0,5.2,0.584,4.6,11.2,15.8,2.8,2.0,1.7,3.6,3.6,17.8,28751775.0,17.174210062432287
Andre Drummond,C,26.0,CLE,8.0,8.0,28.1,7.3,13.1,0.552,0.5,1.8,0.28600000000000003,6.8,11.4,0.593,0.5710000000000001,2.5,4.9,0.513,3.0,8.1,11.1,1.8,1.5,1.4,3.6,3.1,17.5,28751775.0,17.174210062432287
D'Angelo Russell,PG,23.0,TOT,45.0,45.0,32.3,8.0,18.8,0.426,3.5,9.6,0.36700000000000005,4.5,9.2,0.48700000000000004,0.519,3.6,4.4,0.809,0.4,3.6,3.9,6.3,1.1,0.3,3.3,1.9,23.1,28649250.0,17.1706378227719
D'Angelo Russell,PG,23.0,GSW,33.0,33.0,32.1,8.3,19.2,0.43,3.6,9.7,0.374,4.6,9.5,0.48700000000000004,0.524,3.4,4.4,0.785,0.4,3.3,3.7,6.2,0.9,0.3,3.1,1.9,23.6,28649250.0,17.1706378227719
D'Angelo Russell,PG,23.0,MIN,12.0,12.0,32.7,7.3,17.6,0.41200000000000003,3.2,9.2,0.345,4.1,8.4,0.485,0.502,4.0,4.6,0.873,0.3,4.3,4.6,6.6,1.4,0.3,3.8,1.8,21.7,28649250.0,17.1706378227719
Nikola Jokić,C,24.0,DEN,73.0,73.0,32.0,7.7,14.7,0.528,1.1,3.5,0.314,6.6,11.2,0.594,0.565,3.4,4.1,0.8170000000000001,2.3,7.5,9.7,7.0,1.2,0.6,3.1,3.0,19.9,28542009.0,17.166887559967208
Gordon Hayward,SF,29.0,BOS,52.0,52.0,33.5,6.7,13.5,0.5,1.6,4.3,0.38299999999999995,5.1,9.2,0.5539999999999999,0.561,2.4,2.8,0.855,1.1,5.6,6.7,4.1,0.7,0.4,1.8,1.8,17.5,28500000.0,17.16541464523888
Otto Porter,SF,26.0,CHI,14.0,9.0,23.6,4.4,10.0,0.44299999999999995,1.7,4.4,0.387,2.7,5.6,0.48700000000000004,0.529,1.4,1.9,0.7040000000000001,0.9,2.5,3.4,1.8,1.1,0.4,0.8,2.2,11.9,28489239.0,17.165036994990633
DeMar DeRozan,SF,30.0,SAS,68.0,68.0,34.1,8.2,15.4,0.531,0.1,0.5,0.257,8.1,14.9,0.54,0.535,5.6,6.6,0.845,0.6,4.9,5.5,5.6,1.0,0.3,2.4,2.6,22.1,27739975.0,17.138385071624885
Giannis Antetokounmpo,PF,25.0,MIL,63.0,63.0,30.4,10.9,19.7,0.5529999999999999,1.4,4.7,0.304,9.5,15.0,0.631,0.589,6.3,10.0,0.633,2.2,11.4,13.6,5.6,1.0,1.0,3.7,3.1,29.5,27528090.0,17.13071749585254
Steven Adams,C,26.0,OKC,63.0,63.0,26.7,4.5,7.6,0.5920000000000001,0.0,0.0,0.33299999999999996,4.5,7.5,0.594,0.593,1.9,3.2,0.5820000000000001,3.3,6.0,9.3,2.3,0.8,1.1,1.5,1.9,10.9,27528090.0,17.13071749585254
Al Horford,C,33.0,PHI,67.0,61.0,30.2,4.8,10.6,0.45,1.5,4.2,0.35,3.3,6.4,0.516,0.52,0.9,1.2,0.763,1.5,5.3,6.8,4.0,0.8,0.9,1.2,2.1,11.9,27500000.0,17.1296965626368
Brandon Ingram,PF,22.0,NOP,62.0,62.0,33.9,8.2,17.7,0.46299999999999997,2.4,6.2,0.391,5.8,11.5,0.501,0.531,5.0,5.9,0.851,0.8,5.3,6.1,4.2,1.0,0.6,3.0,2.9,23.8,27285000.0,17.12184765860247
Nicolas Batum,SF,31.0,CHO,22.0,3.0,23.0,1.3,3.7,0.34600000000000003,0.6,2.2,0.28600000000000003,0.6,1.5,0.43799999999999994,0.43200000000000005,0.4,0.5,0.9,1.1,3.4,4.5,3.0,0.8,0.4,1.0,1.9,3.6,29695187.0,17.206495536768728
Nicolas Batum,SF,31.0,CHO,22.0,3.0,23.0,1.3,3.7,0.34600000000000003,0.6,2.2,0.28600000000000003,0.6,1.5,0.43799999999999994,0.43200000000000005,0.4,0.5,0.9,1.1,3.4,4.5,3.0,0.8,0.4,1.0,1.9,3.6,29695187.0,17.206495536768728
Rudy Gobert,C,27.0,UTA,68.0,68.0,34.3,5.7,8.2,0.693,0.0,0.0,0.0,5.7,8.2,0.693,0.693,3.7,5.9,0.63,3.4,10.1,13.5,1.5,0.8,2.0,1.9,3.2,15.1,26525281.0,17.09360883618766
Jrue Holiday,SG,29.0,NOP,61.0,61.0,34.7,7.5,16.5,0.455,2.0,5.7,0.353,5.5,10.8,0.509,0.516,2.1,3.0,0.7090000000000001,1.3,3.5,4.8,6.7,1.6,0.8,3.0,2.4,19.1,26131111.0,17.07863715477126
Nikola Vučević,C,29.0,ORL,62.0,62.0,32.2,8.0,16.7,0.47700000000000004,1.6,4.7,0.33899999999999997,6.4,12.0,0.531,0.525,2.1,2.7,0.784,2.3,8.6,10.9,3.6,0.9,0.8,1.4,2.2,19.6,26000000.0,17.073607095985757
Buddy Hield,SG,27.0,SAC,72.0,44.0,30.8,6.9,16.1,0.429,3.8,9.6,0.39399999999999996,3.2,6.6,0.479,0.545,1.6,1.9,0.846,0.8,3.8,4.6,3.0,0.9,0.2,2.3,2.3,19.2,24431818.0,17.011396857165916
LaMarcus Aldridge,C,34.0,SAS,53.0,53.0,33.1,7.4,15.0,0.493,1.2,3.0,0.389,6.2,12.0,0.519,0.532,3.0,3.6,0.8270000000000001,1.9,5.5,7.4,2.4,0.7,1.6,1.4,2.4,18.9,24000000.0,16.99356438831222
Jaylen Brown,SG,23.0,BOS,57.0,57.0,33.9,7.5,15.6,0.48100000000000004,2.3,5.9,0.382,5.2,9.6,0.5429999999999999,0.5539999999999999,3.1,4.3,0.7240000000000001,1.1,5.3,6.4,2.1,1.1,0.4,2.2,2.9,20.3,22991071.0,16.95061648112624
Draymond Green,PF,29.0,GSW,43.0,43.0,28.4,2.9,7.3,0.389,0.8,3.0,0.27899999999999997,2.0,4.3,0.465,0.446,1.5,1.9,0.759,0.5,5.7,6.2,6.2,1.4,0.8,2.3,2.6,8.0,22246956.0,16.917715748228556
Harrison Barnes,PF,27.0,SAC,72.0,72.0,34.5,5.1,11.0,0.46,1.4,3.7,0.381,3.7,7.3,0.501,0.525,3.0,3.7,0.8009999999999999,1.1,3.9,4.9,2.2,0.6,0.2,1.2,1.3,14.5,22215909.0,16.916319211813462
Fred VanVleet,SG,25.0,TOR,54.0,54.0,35.7,5.9,14.3,0.413,2.7,6.9,0.39,3.2,7.4,0.434,0.507,3.1,3.7,0.848,0.3,3.4,3.8,6.6,1.9,0.3,2.2,2.4,17.6,21250000.0,16.8718674533347
Victor Oladipo,SG,27.0,IND,19.0,16.0,27.8,5.1,12.9,0.39399999999999996,1.7,5.5,0.317,3.4,7.5,0.451,0.461,2.5,3.1,0.8140000000000001,0.5,3.5,3.9,2.9,0.9,0.2,2.5,1.9,14.5,21000000.0,16.860032995687696
Malcolm Brogdon,PG,27.0,IND,54.0,54.0,30.9,6.0,13.8,0.43799999999999994,1.4,4.3,0.326,4.6,9.5,0.488,0.489,3.1,3.4,0.892,0.9,4.0,4.9,7.1,0.6,0.2,2.4,1.8,16.5,20700000.0,16.8456442582356
Danilo Gallinari,PF,31.0,OKC,62.0,62.0,29.6,5.8,13.2,0.43799999999999994,2.9,7.1,0.405,2.9,6.1,0.47600000000000003,0.547,4.3,4.8,0.893,0.5,4.6,5.2,1.9,0.7,0.1,1.2,1.2,18.7,19500000.0,16.785925023533974
Zach LaVine,SG,24.0,CHI,60.0,60.0,34.8,9.0,20.0,0.45,3.1,8.1,0.38,5.9,11.9,0.49700000000000005,0.526,4.5,5.6,0.802,0.7,4.1,4.8,4.2,1.5,0.5,3.4,2.2,25.5,19500000.0,16.785925023533974
Gary Harris,SG,25.0,DEN,56.0,55.0,31.8,3.9,9.3,0.42,1.3,3.8,0.33299999999999996,2.6,5.5,0.479,0.48700000000000004,1.3,1.6,0.815,0.5,2.4,2.9,2.1,1.4,0.3,1.1,2.1,10.4,19160714.0,16.76837259494836
Jerami Grant,PF,25.0,DEN,71.0,24.0,26.6,4.3,8.9,0.478,1.4,3.5,0.389,2.9,5.4,0.537,0.555,2.1,2.8,0.75,0.8,2.7,3.5,1.2,0.7,0.8,0.9,2.2,12.0,19047619.0,16.762452664848833
Tim Hardaway Jr.,SG,27.0,DAL,71.0,58.0,29.5,5.4,12.5,0.434,2.9,7.2,0.39799999999999996,2.5,5.2,0.485,0.55,2.1,2.6,0.8190000000000001,0.4,2.9,3.3,1.9,0.6,0.1,1.0,1.8,15.8,18975000.0,16.75863288124597
Terry Rozier,PG,25.0,CHO,63.0,63.0,34.3,6.3,14.9,0.423,2.7,6.7,0.40700000000000003,3.6,8.2,0.436,0.514,2.6,3.0,0.8740000000000001,0.8,3.6,4.4,4.1,1.0,0.2,2.2,2.0,18.0,18900000.0,16.75467248002987
Julius Randle,PF,25.0,NYK,64.0,64.0,32.5,7.2,15.7,0.46,1.0,3.6,0.27699999999999997,6.2,12.1,0.515,0.49200000000000005,4.0,5.5,0.733,2.4,7.4,9.7,3.1,0.8,0.3,3.0,2.8,19.5,18900000.0,16.75467248002987
Aaron Gordon,PF,24.0,ORL,62.0,62.0,32.5,5.4,12.4,0.43700000000000006,1.2,3.8,0.308,4.2,8.5,0.494,0.484,2.4,3.6,0.674,1.7,5.9,7.7,3.7,0.8,0.6,1.6,2.0,14.4,18136364.0,16.713429541545946
Myles Turner,C,23.0,IND,62.0,62.0,29.5,4.3,9.5,0.457,1.4,4.0,0.344,2.9,5.4,0.54,0.53,2.0,2.7,0.7509999999999999,1.4,5.2,6.6,1.2,0.7,2.1,1.4,2.7,12.1,18000000.0,16.70588231586044
Bogdan Bogdanović,SG,27.0,SAC,61.0,28.0,29.0,5.5,12.6,0.44,2.7,7.2,0.37200000000000005,2.8,5.3,0.532,0.547,1.4,1.9,0.741,0.4,3.0,3.4,3.4,1.0,0.2,1.7,2.2,15.1,18000000.0,16.70588231586044
Goran Dragić,PG,33.0,MIA,59.0,3.0,28.2,5.4,12.3,0.441,2.1,5.7,0.36700000000000005,3.3,6.5,0.505,0.526,3.2,4.2,0.7759999999999999,0.5,2.7,3.2,5.1,0.7,0.2,2.4,2.1,16.2,18000000.0,16.70588231586044
Bojan Bogdanović,SF,30.0,UTA,63.0,63.0,33.1,6.6,14.8,0.447,3.0,7.3,0.414,3.6,7.6,0.479,0.5479999999999999,4.0,4.4,0.903,0.6,3.5,4.1,2.1,0.5,0.1,2.5,1.7,20.2,17850000.0,16.69751406618992
Gorgui Dieng,C,30.0,TOT,63.0,17.0,17.4,2.6,5.8,0.456,0.9,2.4,0.355,1.8,3.4,0.528,0.53,1.2,1.6,0.772,1.4,4.2,5.6,1.2,0.8,0.9,1.0,2.0,7.4,17287640.0,16.665502353259306
Gorgui Dieng,C,30.0,MIN,46.0,17.0,16.9,2.7,6.0,0.44799999999999995,1.0,2.6,0.38299999999999995,1.7,3.4,0.49700000000000005,0.531,1.0,1.3,0.797,1.6,4.0,5.6,1.3,0.8,0.9,1.0,1.9,7.4,17287640.0,16.665502353259306
Gorgui Dieng,C,30.0,MEM,17.0,0.0,18.7,2.5,5.1,0.483,0.5,1.9,0.25,2.0,3.2,0.618,0.529,1.8,2.5,0.738,1.1,4.7,5.8,0.9,0.8,1.0,0.9,2.1,7.2,17287640.0,16.665502353259306
Domantas Sabonis,PF,23.0,IND,62.0,62.0,34.8,7.4,13.7,0.54,0.3,1.1,0.254,7.1,12.6,0.565,0.55,3.5,4.8,0.723,3.0,9.4,12.4,5.0,0.8,0.5,2.7,3.1,18.5,17187500.0,16.659692933391064
Ricky Rubio,PG,29.0,PHO,65.0,65.0,31.0,4.4,10.6,0.415,1.2,3.3,0.361,3.2,7.3,0.439,0.47100000000000003,3.0,3.5,0.863,0.7,4.0,4.7,8.8,1.4,0.2,2.7,2.6,13.0,17000000.0,16.64872390202049
Evan Fournier,SF,27.0,ORL,66.0,66.0,31.5,6.6,14.1,0.467,2.6,6.6,0.39899999999999997,4.0,7.5,0.527,0.56,2.7,3.3,0.818,0.3,2.3,2.6,3.2,1.1,0.2,1.9,2.4,18.5,17000000.0,16.64872390202049
Eric Bledsoe,PG,30.0,MIL,61.0,61.0,27.0,5.5,11.5,0.475,1.2,3.5,0.344,4.3,8.0,0.5329999999999999,0.528,2.8,3.5,0.79,0.7,3.9,4.6,5.4,0.9,0.4,2.4,2.1,14.9,16875000.0,16.641343794722868
Eric Gordon,SF,31.0,HOU,36.0,15.0,28.2,4.8,12.9,0.369,2.7,8.4,0.317,2.1,4.4,0.469,0.473,2.3,3.0,0.7659999999999999,0.3,1.7,2.0,1.5,0.6,0.4,1.2,1.9,14.4,16869276.0,16.641004537181534
Caris LeVert,SG,25.0,BRK,45.0,31.0,29.6,6.9,16.3,0.425,1.8,4.9,0.364,5.1,11.4,0.451,0.48,3.1,4.4,0.711,1.1,3.1,4.2,4.4,1.2,0.2,2.6,1.8,18.7,16203704.0,16.60075041604333
Joe Harris,SF,28.0,BRK,69.0,69.0,30.8,5.5,11.4,0.486,2.5,5.9,0.424,3.0,5.5,0.5529999999999999,0.596,0.9,1.3,0.7190000000000001,0.9,3.4,4.3,2.1,0.6,0.2,1.5,2.3,14.5,16071429.0,16.5925536572201
James Johnson,PF-C,32.0,TOT,32.0,1.0,19.3,3.2,6.7,0.479,1.0,2.8,0.363,2.2,3.9,0.565,0.556,1.0,1.5,0.6459999999999999,0.8,2.9,3.7,2.3,0.8,1.0,1.5,2.5,8.4,16047100.0,16.591038705856477
James Johnson,PF,32.0,MIA,18.0,0.0,15.6,2.2,4.8,0.44799999999999995,0.9,2.5,0.35600000000000004,1.3,2.3,0.5479999999999999,0.54,0.4,0.8,0.5710000000000001,0.4,2.4,2.9,1.2,0.3,0.7,0.8,1.9,5.7,16047100.0,16.591038705856477
James Johnson,C,32.0,MIN,14.0,1.0,24.1,4.6,9.1,0.5,1.2,3.3,0.37,3.4,5.9,0.573,0.5660000000000001,1.6,2.4,0.6759999999999999,1.2,3.5,4.7,3.8,1.4,1.4,2.4,3.3,12.0,16047100.0,16.591038705856477
Clint Capela,C,25.0,HOU,39.0,39.0,32.8,6.3,9.9,0.629,0.0,0.0,0.0,6.3,9.9,0.629,0.629,1.4,2.7,0.529,4.3,9.5,13.8,1.2,0.8,1.8,1.6,2.6,13.9,16000000.0,16.588099280204055
Dennis Schröder,PG,26.0,OKC,65.0,2.0,30.8,7.0,14.8,0.469,1.9,5.0,0.385,5.0,9.8,0.513,0.534,3.0,3.6,0.8390000000000001,0.3,3.3,3.6,4.0,0.7,0.2,2.6,2.2,18.9,15500000.0,16.556350581889475
Cody Zeller,C,27.0,CHO,58.0,39.0,23.1,4.3,8.3,0.524,0.3,1.3,0.24,4.0,7.0,0.5770000000000001,0.5429999999999999,2.1,3.1,0.682,2.8,4.3,7.1,1.5,0.7,0.4,1.3,2.4,11.1,15415730.0,16.550898974652075
Danny Green,SG,32.0,LAL,68.0,68.0,24.8,2.9,7.0,0.41600000000000004,1.8,4.8,0.36700000000000005,1.1,2.2,0.524,0.542,0.5,0.7,0.688,0.8,2.6,3.3,1.3,1.3,0.5,0.9,2.0,8.0,15365854.0,16.547658332867766
Jonas Valančiūnas,C,27.0,MEM,70.0,70.0,26.4,6.2,10.6,0.585,0.5,1.3,0.35200000000000004,5.7,9.3,0.617,0.606,2.1,2.9,0.74,3.0,8.2,11.3,1.9,0.4,1.1,1.8,2.6,14.9,15000000.0,16.523560759066484
Andre Iguodala,SF,36.0,MIA,21.0,0.0,19.9,1.8,4.2,0.43200000000000005,0.7,2.2,0.298,1.1,2.0,0.585,0.511,0.3,0.7,0.4,0.8,2.9,3.7,2.4,0.7,1.0,1.2,1.7,4.6,15000000.0,16.523560759066484
Marcus Morris,SF-PF,30.0,TOT,62.0,62.0,31.2,5.7,13.1,0.43799999999999994,2.3,5.6,0.408,3.4,7.5,0.461,0.526,2.9,3.5,0.823,1.0,4.1,5.0,1.4,0.8,0.5,1.6,2.9,16.7,14883721.0,16.515778623311927
Marcus Morris,SF,30.0,NYK,43.0,43.0,32.3,6.5,14.8,0.442,2.7,6.1,0.439,3.8,8.7,0.444,0.5329999999999999,3.8,4.6,0.823,1.1,4.3,5.4,1.4,0.8,0.4,1.7,3.0,19.6,14883721.0,16.515778623311927
Marcus Morris,PF,30.0,LAC,19.0,19.0,28.9,3.9,9.2,0.425,1.4,4.4,0.31,2.5,4.7,0.5329999999999999,0.5,0.9,1.2,0.818,0.6,3.5,4.1,1.4,0.7,0.7,1.3,2.7,10.1,14883721.0,16.515778623311927
Kelly Oubre Jr.,SF,24.0,PHO,56.0,55.0,34.5,6.7,14.8,0.452,1.9,5.5,0.35200000000000004,4.7,9.3,0.511,0.517,3.4,4.4,0.78,1.2,5.3,6.4,1.5,1.3,0.7,1.5,3.4,18.7,14375000.0,16.48100114464769
Dejounte Murray,PG,23.0,SAS,66.0,58.0,25.6,4.5,9.7,0.462,0.6,1.7,0.369,3.8,8.0,0.48100000000000004,0.494,1.4,1.7,0.7979999999999999,1.0,4.8,5.8,4.1,1.7,0.3,1.9,2.2,10.9,14285714.0,16.47477057489705
Rudy Gay,PF,33.0,SAS,67.0,5.0,21.8,4.0,8.9,0.446,1.1,3.3,0.336,2.9,5.6,0.511,0.508,1.8,2.0,0.882,0.9,4.5,5.4,1.7,0.5,0.5,1.3,1.5,10.8,14000000.0,16.454567887579532
Taurean Prince,PF,25.0,BRK,64.0,61.0,29.0,4.3,11.5,0.376,2.3,6.7,0.33899999999999997,2.1,4.8,0.429,0.475,1.1,1.4,0.7979999999999999,0.8,5.2,6.0,1.8,0.9,0.4,2.0,2.5,12.1,13942308.0,16.450438516306487
Will Barton,SF,29.0,DEN,58.0,58.0,33.0,5.7,12.7,0.45,1.9,5.0,0.375,3.9,7.8,0.498,0.523,1.8,2.3,0.767,1.3,5.0,6.3,3.7,1.1,0.5,1.5,2.1,15.1,13920000.0,16.448837212870547
Dāvis Bertāns,PF,27.0,WAS,54.0,4.0,29.3,4.9,11.3,0.434,3.7,8.7,0.424,1.2,2.6,0.47100000000000003,0.598,1.9,2.3,0.852,0.6,3.9,4.5,1.7,0.7,0.6,1.1,2.6,15.4,13793103.0,16.439679242585783
Thaddeus Young,PF,31.0,CHI,64.0,16.0,24.9,4.2,9.4,0.44799999999999995,1.2,3.5,0.35600000000000004,3.0,5.9,0.501,0.513,0.7,1.1,0.583,1.5,3.5,4.9,1.8,1.4,0.4,1.6,2.1,10.3,13545000.0,16.421528033501332
Terrence Ross,SG,28.0,ORL,69.0,0.0,27.4,4.9,12.3,0.40299999999999997,2.6,7.3,0.35100000000000003,2.4,5.0,0.48,0.508,2.3,2.7,0.853,0.2,3.0,3.2,1.2,1.1,0.3,1.0,1.6,14.7,13500000.0,16.41820024340866
